product_id,product_name,category,brand,price
54,Neutrogena Plus Shampoo,Beauty,Neutrogena,91.12
55,Gap Essential Jacket,Clothing,Gap,42.27
56,Nike Essential Dumbbell Set,Sports Equipment,Nike,62.2
57,LG Premium Headphones,Electronics,LG,1697.6
58,IKEA Pro Blender,Home & Kitchen,IKEA,245.48
59,Dove Deluxe Face Cream,Beauty,Dove,6.69
60,Kellogg's Essential Cereal,Grocery,Kellogg's,18.23
61,Nike Essential Basketball,Sports Equipment,Nike,169.19
62,General Mills Smart Juice,Grocery,General Mills,22.04
63,Fisher-Price Deluxe Board Game,Toys,Fisher-Price,91.76
64,Scholastic Classic Novel,Books,Scholastic,40.97
65,Gap Max Sneakers,Clothing,Gap,180.33
66,Instant Pot Classic Air Fryer,Home & Kitchen,Instant Pot,491.85
67,Dyson Max Coffee Maker,Home & Kitchen,Dyson,227.87
68,Maybelline Smart Serum,Beauty,Maybelline,21.83
69,L'Oreal Ultra Serum,Beauty,L'Oreal,87.97
70,Maybelline Max Shampoo,Beauty,Maybelline,149.45
71,Bose Classic Monitor,Electronics,Bose,1339.32
72,Adidas Max Dress,Clothing,Adidas,109.37
73,KitchenAid Smart Vacuum,Home & Kitchen,KitchenAid,466.55
74,Scholastic Mini Biography,Books,Scholastic,49.6
75,Kellogg's Ultra Snack Bar,Grocery,Kellogg's,17.14
76,Wilson Essential Yoga Mat,Sports Equipment,Wilson,218.78
77,Apple Max Speaker,Electronics,Apple,759.78
78,Nike Ultra Jacket,Clothing,Nike,81.52
79,Penguin Plus Guidebook,Books,Penguin,11.71
80,Fisher-Price Premium Board Game,Toys,Fisher-Price,84.05
81,H&M Plus Hoodie,Clothing,H&M,134.83
82,Penguin Premium Journal,Books,Penguin,37.77
83,KitchenAid Ultra Coffee Maker,Home & Kitchen,KitchenAid,462.77
84,Fisher-Price Essential Puzzle,Toys,Fisher-Price,95.76
85,IKEA Essential Blender,Home & Kitchen,IKEA,245.72
86,Instant Pot Ultra Coffee Maker,Home & Kitchen,Instant Pot,282.32
87,Levi's Max T-Shirt,Clothing,Levi's,93.57
88,LEGO Plus Doll,Toys,LEGO,35.05
89,Samsung Mini Smartwatch,Electronics,Samsung,861.19
90,Penguin Essential Guidebook,Books,Penguin,18.14
91,Nerf Smart Action Figure,Toys,Nerf,48.73
92,Kraft Deluxe Juice,Grocery,Kraft,33.69
93,Samsung Classic Headphones,Electronics,Samsung,1327.15
94,Levi's Premium Jeans,Clothing,Levi's,56.88
95,Spalding Max Basketball,Sports Equipment,Spalding,22.59
96,H&M Plus Shorts,Clothing,H&M,26.39
97,Mattel Plus Board Game,Toys,Mattel,62.81
98,Under Armour Deluxe Running Shoes,Sports Equipment,Under Armour,231.55
99,Nerf Max Doll,Toys,Nerf,49.77
100,Levi's Ultra Shorts,Clothing,Levi's,191.72
101,IKEA Classic Vacuum,Home & Kitchen,IKEA,341.21
102,LEGO Ultra Action Figure,Toys,LEGO,75.07
103,Nivea Deluxe Face Cream,Beauty,Nivea,59.49
104,Kraft Max Snack Bar,Grocery,Kraft,12.69
105,Levi's Mini T-Shirt,Clothing,Levi's,145.88
106,LG Deluxe Headphones,Electronics,LG,137.04
107,KitchenAid Mini Air Fryer,Home & Kitchen,KitchenAid,329.62
108,Heinz Ultra Pasta Sauce,Grocery,Heinz,35.35
109,Cuisinart Ultra Cookware Set,Home & Kitchen,Cuisinart,401.48
110,Kellogg's Deluxe Pasta Sauce,Grocery,Kellogg's,22.94
111,Penguin Deluxe Novel,Books,Penguin,52.0
112,Hasbro Deluxe Doll,Toys,Hasbro,45.25
113,Nivea Pro Serum,Beauty,Nivea,97.48
114,Simon & Schuster Mini Guidebook,Books,Simon & Schuster,29.44
115,General Mills Premium Pasta Sauce,Grocery,General Mills,29.6
116,Neutrogena Deluxe Perfume,Beauty,Neutrogena,61.87
117,Maybelline Mini Serum,Beauty,Maybelline,123.59
118,Cuisinart Max Blender,Home & Kitchen,Cuisinart,105.56
119,HarperCollins Max Biography,Books,HarperCollins,21.46
120,Nerf Mini Building Set,Toys,Nerf,8.28
121,Maybelline Pro Shampoo,Beauty,Maybelline,14.65
122,L'Oreal Deluxe Serum,Beauty,L'Oreal,28.49
123,Dove Essential Shampoo,Beauty,Dove,75.82
124,Dyson Deluxe Air Fryer,Home & Kitchen,Dyson,362.45
125,Heinz Smart Cereal,Grocery,Heinz,9.52
126,Adidas Pro T-Shirt,Clothing,Adidas,26.67
127,IKEA Smart Vacuum,Home & Kitchen,IKEA,205.74
128,Spalding Essential Basketball,Sports Equipment,Spalding,175.24
129,Wilson Classic Basketball,Sports Equipment,Wilson,112.51
130,Wilson Premium Yoga Mat,Sports Equipment,Wilson,186.07
131,Puma Ultra Jeans,Clothing,Puma,61.47
132,Nike Pro Tennis Racket,Sports Equipment,Nike,115.46
133,LG Premium Smartwatch,Electronics,LG,1095.3
134,Dyson Mini Toaster,Home & Kitchen,Dyson,311.18
135,Scholastic Smart Biography,Books,Scholastic,14.58
136,Spalding Essential Yoga Mat,Sports Equipment,Spalding,287.21
137,H&M Ultra Jeans,Clothing,H&M,190.49
138,HarperCollins Deluxe Guidebook,Books,HarperCollins,28.38
139,General Mills Classic Juice,Grocery,General Mills,41.2
140,Simon & Schuster Max Guidebook,Books,Simon & Schuster,5.91
141,Dell Classic Speaker,Electronics,Dell,410.72
142,Gap Mini Jacket,Clothing,Gap,89.63
143,Levi's Essential Sneakers,Clothing,Levi's,86.44
144,Mattel Premium Action Figure,Toys,Mattel,16.76
145,Samsung Smart Monitor,Electronics,Samsung,1051.16
146,Gap Classic Sneakers,Clothing,Gap,82.28
147,Nike Deluxe Shorts,Clothing,Nike,162.95
148,Fisher-Price Essential Doll,Toys,Fisher-Price,75.74
149,LEGO Pro Action Figure,Toys,LEGO,9.54
150,Kraft Pro Juice,Grocery,Kraft,27.09
151,Kellogg's Essential Juice,Grocery,Kellogg's,36.96
152,Lenovo Essential Smartwatch,Electronics,Lenovo,1386.63
153,Simon & Schuster Mini Cookbook,Books,Simon & Schuster,20.9
154,Penguin Smart Journal,Books,Penguin,49.99
155,Sony Max Tablet,Electronics,Sony,485.1
156,Adidas Deluxe Yoga Mat,Sports Equipment,Adidas,29.37
157,Adidas Premium Shorts,Clothing,Adidas,160.66
158,Penguin Premium Cookbook,Books,Penguin,57.88
159,Scholastic Premium Guidebook,Books,Scholastic,24.62
160,Penguin Deluxe Journal,Books,Penguin,44.92
161,Simon & Schuster Smart Biography,Books,Simon & Schuster,20.39
162,Fisher-Price Smart RC Car,Toys,Fisher-Price,19.45
163,Bose Classic Laptop,Electronics,Bose,519.4
164,Heinz Deluxe Cereal,Grocery,Heinz,18.49
165,Fisher-Price Ultra RC Car,Toys,Fisher-Price,38.1
166,Nestle Smart Snack Bar,Grocery,Nestle,12.13
167,Fisher-Price Classic Doll,Toys,Fisher-Price,79.13
168,Penguin Max Guidebook,Books,Penguin,36.23
169,Zara Ultra Jeans,Clothing,Zara,182.34
170,Levi's Mini Sneakers,Clothing,Levi's,178.63
171,Nestle Essential Pasta Sauce,Grocery,Nestle,47.53
172,Nerf Pro Doll,Toys,Nerf,94.69
173,Wilson Ultra Yoga Mat,Sports Equipment,Wilson,238.82
174,Nike Classic Running Shoes,Sports Equipment,Nike,120.66
175,Hasbro Mini Action Figure,Toys,Hasbro,68.63
176,L'Oreal Essential Shampoo,Beauty,L'Oreal,103.36
177,Puma Max Hoodie,Clothing,Puma,180.62
178,Scholastic Max Novel,Books,Scholastic,26.9
179,Samsung Premium Laptop,Electronics,Samsung,1621.96
180,Nerf Plus Building Set,Toys,Nerf,21.56
181,Nike Premium Dumbbell Set,Sports Equipment,Nike,267.26
182,Dyson Premium Blender,Home & Kitchen,Dyson,361.77
183,Maybelline Premium Shampoo,Beauty,Maybelline,135.59
184,Hasbro Smart RC Car,Toys,Hasbro,25.97
185,Kraft Premium Snack Bar,Grocery,Kraft,48.88
186,Puma Pro Sneakers,Clothing,Puma,178.23
187,IKEA Premium Cookware Set,Home & Kitchen,IKEA,393.01
188,Nerf Deluxe Doll,Toys,Nerf,87.25
189,Mattel Max Action Figure,Toys,Mattel,84.62
190,Zara Pro Sneakers,Clothing,Zara,105.43
191,Wilson Plus Basketball,Sports Equipment,Wilson,14.34
192,Maybelline Premium Face Cream,Beauty,Maybelline,67.26
193,LEGO Mini RC Car,Toys,LEGO,7.88
194,Nerf Plus Doll,Toys,Nerf,78.91
195,Wilson Premium Running Shoes,Sports Equipment,Wilson,97.33
196,HarperCollins Deluxe Guidebook,Books,HarperCollins,59.8
197,General Mills Ultra Juice,Grocery,General Mills,8.38
198,Nestle Plus Pasta Sauce,Grocery,Nestle,25.72
199,Under Armour Essential Basketball,Sports Equipment,Under Armour,225.44
200,KitchenAid Essential Blender,Home & Kitchen,KitchenAid,475.37
