order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,order_status,shipping_city,shipping_state
47,35,18,8,11.27,90.16,2024-09-12,Delivered,Oconnorberg,Idaho
48,690,148,5,75.74,378.7,2024-07-21,Delivered,South Roger,Oregon
49,775,6,3,32.87,98.61,2024-06-10,Delivered,East Joel,Florida
50,998,38,1,31.4,31.4,2025-06-05,Delivered,Lake Franciscoton,Kentucky
51,995,53,3,149.5,448.5,2025-10-11,Delivered,Port Williambury,Rhode Island
52,688,149,2,9.54,0.0,2025-06-08,Cancelled,Port Autumn,Minnesota
53,729,88,5,35.05,175.25,2024-12-23,Delivered,Rodriguezland,Oregon
54,12,83,2,462.77,925.54,2025-07-31,Shipped,Paulview,Arizona
55,409,176,1,103.36,103.36,2024-08-03,Delivered,East Robert,Delaware
56,941,14,3,252.45,757.35,2025-12-19,Delivered,New Deborah,Hawaii
57,835,90,3,18.14,54.42,2024-10-18,Delivered,Angelahaven,Minnesota
58,168,126,2,26.67,53.34,2024-02-19,Delivered,Lake Samanthafurt,Michigan
59,214,16,2,218.41,436.82,2025-04-07,Delivered,Robinsonberg,Texas
60,491,44,1,268.71,268.71,2024-06-08,Delivered,New Danielstad,Illinois
61,414,21,1,403.17,403.17,2025-03-17,Delivered,Silvamouth,Georgia
62,928,182,2,361.77,723.54,2024-09-09,Delivered,Port Teresachester,Alaska
63,749,135,3,14.58,43.74,2025-07-10,Delivered,Wardtown,Oregon
64,400,136,3,287.21,861.63,2024-08-24,Delivered,Lake Jillian,Rhode Island
65,6,196,6,59.8,358.8,2025-03-10,Delivered,East Tinaville,Arkansas
66,593,200,3,475.37,1426.11,2024-11-09,Delivered,Deborahmouth,Connecticut
67,280,75,9,17.14,154.26,2024-01-05,Delivered,Walkerberg,Kentucky
68,40,20,2,34.43,68.86,2025-02-18,Delivered,Ashleyshire,Arizona
69,337,123,4,75.82,303.28,2025-12-04,Delivered,South Troy,Idaho
70,305,34,2,18.21,36.42,2024-08-14,Delivered,South Philip,Colorado
71,430,129,3,112.51,337.53,2024-04-20,Delivered,Jenniferton,Florida
72,928,109,2,401.48,802.96,2025-05-12,Delivered,Port Teresachester,Alaska
73,115,4,1,127.98,127.98,2025-01-30,Returned,South Melissaview,Georgia
74,371,11,1,101.47,101.47,2024-09-10,Delivered,Sandramouth,Idaho
75,904,24,8,7.3,58.4,2024-05-13,Processing,Parsonsmouth,Arkansas
76,333,107,1,329.62,329.62,2025-10-05,Delivered,South Heatherfurt,South Carolina
77,835,90,1,18.14,18.14,2025-04-02,Delivered,Angelahaven,Minnesota
78,689,56,1,62.2,62.2,2025-04-19,Returned,Garyshire,Oklahoma
79,265,12,2,466.36,932.72,2025-04-29,Delivered,Nelsonburgh,Indiana
80,241,107,3,329.62,988.86,2025-04-11,Delivered,Mcdonaldmouth,Rhode Island
81,919,89,2,861.19,1722.38,2024-12-25,Delivered,New Kelsey,Oregon
82,189,94,3,56.88,170.64,2025-05-26,Delivered,Nicholsonland,Virginia
83,628,25,5,115.58,577.9,2025-05-11,Delivered,Lake Emily,Maryland
84,354,41,5,70.23,351.15,2025-10-07,Delivered,Ashleyhaven,Vermont
85,564,87,1,93.57,93.57,2024-01-09,Delivered,Rachelmouth,Wisconsin
86,53,34,3,18.21,54.63,2024-04-24,Returned,Kennethshire,Kansas
87,485,112,3,45.25,0.0,2025-09-16,Cancelled,Port Katieton,Wisconsin
88,903,80,5,84.05,420.25,2025-11-25,Delivered,Lake Bryan,Nebraska
89,1,124,3,362.45,1087.35,2025-06-28,Returned,Port Francesfurt,Mississippi
90,267,45,2,172.19,344.38,2025-04-25,Delivered,South Wesleyfort,Oklahoma
91,324,158,5,57.88,289.4,2024-01-15,Delivered,Lake Michael,Tennessee
92,523,175,1,68.63,68.63,2024-10-21,Returned,Lake Lauraberg,Georgia
93,731,141,2,410.72,821.44,2024-12-08,Delivered,Underwoodberg,Utah
94,763,88,5,35.05,175.25,2024-05-27,Shipped,Hayesport,Colorado
95,312,82,1,37.77,37.77,2024-10-21,Delivered,East Jeffreyhaven,Louisiana
96,805,122,3,28.49,85.47,2024-02-11,Delivered,South David,Indiana
97,704,157,3,160.66,481.98,2025-12-26,Delivered,Martinmouth,Vermont
98,386,190,4,105.43,421.72,2024-03-15,Shipped,Donaldsonchester,Maine
99,128,152,1,1386.63,1386.63,2025-06-12,Delivered,East Normanton,Montana
100,1,119,4,21.46,85.84,2025-12-23,Delivered,Port Francesfurt,Mississippi
101,467,180,5,21.56,107.8,2025-01-20,Delivered,Keyfurt,Tennessee
102,884,156,2,29.37,58.74,2024-08-10,Shipped,South Rogerborough,Louisiana
103,372,121,5,14.65,73.25,2025-06-03,Shipped,Meyersside,Louisiana
104,291,168,2,36.23,72.46,2025-02-18,Returned,East Jacobfort,Minnesota
105,620,36,1,754.48,754.48,2025-11-09,Delivered,Lyonsborough,Michigan
106,686,172,1,94.69,94.69,2025-10-18,Delivered,Barrettside,Idaho
107,342,45,1,172.19,172.19,2025-06-09,Delivered,Ashleymouth,West Virginia
108,185,22,2,18.02,36.04,2024-12-30,Delivered,New Shelley,Wisconsin
109,413,176,4,103.36,413.44,2024-03-27,Processing,North Donnamouth,Tennessee
110,848,39,3,49.93,149.79,2024-02-11,Shipped,West Brettton,North Dakota
111,330,189,4,84.62,338.48,2024-02-27,Delivered,Lake Andrew,Nevada
112,980,91,5,48.73,243.65,2024-11-14,Delivered,Port Marcland,Maine
113,157,154,3,49.99,149.97,2024-10-20,Delivered,Villanuevamouth,Maryland
114,509,135,5,14.58,72.9,2024-01-10,Processing,Greenefort,Alabama
115,943,4,2,127.98,255.96,2024-03-02,Delivered,Lake Samantha,Kentucky
116,149,84,4,95.76,383.04,2024-05-15,Delivered,Port Ronaldshire,Rhode Island
117,488,53,1,149.5,149.5,2024-03-22,Delivered,Katiehaven,Alaska
118,546,38,1,31.4,0.0,2025-08-17,Cancelled,East Amberview,Kentucky
119,446,192,3,67.26,201.78,2024-06-29,Delivered,Jonathanshire,Utah
120,285,106,2,137.04,0.0,2024-11-26,Cancelled,Lake Albertmouth,Colorado
121,672,122,3,28.49,85.47,2024-02-24,Delivered,West Donna,Kentucky
122,241,33,5,31.92,159.6,2024-09-17,Delivered,Mcdonaldmouth,Rhode Island
123,869,121,5,14.65,73.25,2025-01-06,Shipped,Kennethberg,Utah
124,763,194,3,78.91,236.73,2024-10-07,Returned,Hayesport,Colorado
125,615,53,2,149.5,299.0,2024-04-29,Delivered,East Andrea,Massachusetts
126,242,161,3,20.39,61.17,2025-09-19,Delivered,Rosechester,Idaho
127,673,154,3,49.99,149.97,2025-01-21,Delivered,Gregoryberg,Connecticut
128,113,45,1,172.19,172.19,2024-08-28,Shipped,Lake Haroldmouth,Ohio
129,722,186,4,178.23,712.92,2025-11-12,Delivered,Thomasbury,New Jersey
130,736,55,3,42.27,126.81,2025-06-22,Delivered,New Tammy,Maryland
131,667,3,3,104.42,313.26,2025-12-17,Delivered,South Willie,Alabama
132,107,17,4,153.37,613.48,2025-04-22,Delivered,South Markmouth,Utah
133,794,75,11,17.14,0.0,2024-04-05,Cancelled,North Danielstad,Wyoming
134,386,193,3,7.88,23.64,2025-03-30,Shipped,Donaldsonchester,Maine
135,510,34,2,18.21,36.42,2024-11-30,Returned,Brianberg,Georgia
136,996,126,1,26.67,26.67,2025-11-05,Delivered,North Sarah,Oregon
137,371,1,3,30.83,0.0,2025-01-27,Cancelled,Sandramouth,Idaho
138,631,111,5,52.0,260.0,2024-05-26,Delivered,Clarktown,South Dakota
139,689,125,6,9.52,57.12,2024-08-17,Shipped,Garyshire,Oklahoma
140,458,61,1,169.19,169.19,2024-05-26,Delivered,Jonathanborough,Texas
141,570,140,5,5.91,29.55,2025-05-25,Shipped,Audreyville,Nebraska
142,975,95,2,22.59,45.18,2024-04-16,Delivered,North Sarachester,North Dakota
143,736,142,1,89.63,0.0,2024-01-18,Cancelled,New Tammy,Maryland
144,407,4,3,127.98,383.94,2025-10-07,Delivered,West Renee,Utah
145,832,125,4,9.52,38.08,2025-03-27,Delivered,Morganport,Vermont
146,903,177,2,180.62,361.24,2025-03-22,Delivered,Lake Bryan,Nebraska
147,449,131,1,61.47,61.47,2024-03-05,Delivered,West Melanieburgh,Washington
148,471,28,1,369.51,369.51,2024-12-09,Delivered,Jenniferview,Colorado
149,842,87,3,93.57,0.0,2025-06-05,Cancelled,Geneburgh,Arkansas
150,98,93,1,1327.15,1327.15,2025-07-22,Delivered,East Marissamouth,Maryland
151,298,45,4,172.19,688.76,2024-03-08,Returned,Drewfurt,Virginia
152,603,22,3,18.02,54.06,2025-08-28,Delivered,Khanborough,South Carolina
153,518,10,1,1605.0,1605.0,2025-03-26,Delivered,Gailhaven,North Carolina
154,121,19,1,27.97,27.97,2024-02-18,Shipped,Meganville,Hawaii
155,319,116,1,61.87,61.87,2024-05-21,Delivered,North Christinafort,Maine
156,191,99,3,49.77,149.31,2024-05-04,Delivered,North Hannah,Texas
157,697,187,2,393.01,786.02,2024-01-06,Delivered,Port David,Indiana
158,740,136,2,287.21,574.42,2025-01-21,Delivered,West Ryan,Utah
159,907,89,1,861.19,0.0,2025-03-23,Cancelled,West Amy,Delaware
160,663,57,1,1697.6,1697.6,2025-03-09,Delivered,Port Deannaton,Kansas
161,885,47,1,64.42,64.42,2024-07-28,Delivered,West Amber,Minnesota
162,158,94,3,56.88,170.64,2025-03-19,Delivered,Walkerberg,Alabama
163,822,188,5,87.25,436.25,2024-03-19,Processing,West Brianhaven,Oklahoma
164,937,175,2,68.63,137.26,2025-08-17,Delivered,Thomasfurt,Montana
165,214,88,4,35.05,140.2,2025-10-05,Delivered,Robinsonberg,Texas
166,377,196,3,59.8,179.4,2025-07-30,Returned,Caitlinview,Kansas
167,111,124,2,362.45,724.9,2025-09-23,Shipped,North Angelicachester,Virginia
168,612,10,2,1605.0,3210.0,2025-11-12,Delivered,Brittanyshire,Wyoming
169,568,152,2,1386.63,2773.26,2024-03-17,Delivered,Michaelville,Florida
170,87,124,1,362.45,362.45,2025-07-18,Returned,West Angela,Idaho
171,888,83,2,462.77,0.0,2024-08-04,Cancelled,West Robert,Illinois
172,533,68,2,21.83,0.0,2024-03-14,Cancelled,Cunninghamland,South Carolina
173,874,194,1,78.91,0.0,2024-06-01,Cancelled,Johnsonburgh,Ohio
174,532,65,1,180.33,180.33,2025-02-05,Delivered,East Susan,Maine
175,746,109,3,401.48,1204.44,2024-01-16,Delivered,Smithhaven,Minnesota
176,614,15,2,81.03,162.06,2024-12-22,Delivered,Lake Gail,Alabama
177,590,17,3,153.37,460.11,2024-09-08,Delivered,East Christopher,Delaware
178,402,70,1,149.45,149.45,2025-05-16,Delivered,West Williamhaven,Tennessee
179,257,93,2,1327.15,2654.3,2025-02-01,Delivered,Robynchester,Nebraska
180,872,179,1,1621.96,0.0,2024-05-11,Cancelled,East Marcus,Georgia
181,611,169,1,182.34,182.34,2025-05-14,Delivered,Watkinston,Oklahoma
182,809,86,1,282.32,0.0,2025-09-01,Cancelled,Jamesport,New Jersey
183,422,112,5,45.25,226.25,2025-07-29,Shipped,Bakerfort,Virginia
184,150,128,2,175.24,350.48,2025-11-28,Delivered,West Brandiberg,Wisconsin
185,518,199,1,225.44,225.44,2024-10-25,Delivered,Gailhaven,North Carolina
186,996,168,4,36.23,0.0,2025-06-28,Cancelled,North Sarah,Oregon
187,546,122,3,28.49,85.47,2024-07-26,Delivered,East Amberview,Kentucky
188,69,69,3,87.97,263.91,2024-04-26,Returned,East Lisa,Kentucky
189,340,146,1,82.28,82.28,2024-12-27,Delivered,West Zachary,New York
190,261,165,2,38.1,76.2,2025-03-31,Delivered,Montgomerybury,Hawaii
191,783,4,5,127.98,639.9,2025-05-25,Delivered,Leefurt,Minnesota
192,709,20,3,34.43,103.29,2024-09-18,Shipped,Edwardsborough,West Virginia
193,637,144,1,16.76,16.76,2025-10-12,Processing,Hawkinsstad,Hawaii
194,809,78,2,81.52,163.04,2024-01-15,Delivered,Jamesport,New Jersey
195,545,128,3,175.24,525.72,2024-12-09,Delivered,Sanchezborough,Rhode Island
196,643,161,6,20.39,122.34,2024-07-01,Delivered,West Morgan,Colorado
197,120,56,1,62.2,62.2,2024-12-31,Delivered,East Barry,Louisiana
198,927,65,2,180.33,360.66,2025-03-27,Delivered,West Meganborough,Missouri
199,865,173,3,238.82,716.46,2025-12-25,Processing,Hoffmanton,Texas
200,609,97,1,62.81,62.81,2024-07-30,Delivered,Williamsburgh,Idaho
201,195,19,2,27.97,55.94,2025-11-16,Delivered,Wilsonton,Illinois
202,809,94,3,56.88,0.0,2024-04-10,Cancelled,Jamesport,New Jersey
203,25,185,5,48.88,244.4,2025-03-23,Delivered,Weaverfort,Minnesota
204,447,144,3,16.76,50.28,2025-06-05,Delivered,West Alyssa,Colorado
205,911,89,1,861.19,861.19,2024-02-01,Delivered,Katherinestad,West Virginia
206,750,178,5,26.9,134.5,2024-07-15,Delivered,Albertberg,Kentucky
207,246,79,4,11.71,46.84,2025-06-26,Delivered,Jacksonton,Louisiana
208,95,57,2,1697.6,3395.2,2024-06-08,Shipped,Jamesville,Virginia
209,891,56,3,62.2,186.6,2025-11-26,Delivered,West David,Iowa
210,322,151,9,36.96,332.64,2025-03-15,Delivered,Ryanton,Alabama
211,613,90,6,18.14,108.84,2024-06-28,Delivered,North Richardtown,New Hampshire
212,741,126,1,26.67,26.67,2024-08-14,Shipped,Port Tabitha,Mississippi
213,730,182,2,361.77,723.54,2025-03-28,Delivered,Charlesborough,Utah
214,887,154,3,49.99,149.97,2025-12-24,Shipped,Port Shariland,Vermont
215,437,150,7,27.09,189.63,2024-01-21,Shipped,Justinchester,Alabama
216,45,175,4,68.63,274.52,2025-09-02,Delivered,Port Joseview,Kentucky
217,843,1,1,30.83,30.83,2025-02-27,Delivered,Allenberg,Massachusetts
218,388,25,3,115.58,346.74,2025-02-11,Shipped,South Shaunhaven,North Dakota
219,319,70,3,149.45,0.0,2024-10-21,Cancelled,North Christinafort,Maine
220,162,129,3,112.51,337.53,2025-04-26,Processing,Henryberg,Arkansas
221,302,74,1,49.6,49.6,2025-11-19,Delivered,Campbellville,Missouri
222,253,117,3,123.59,370.77,2024-04-22,Delivered,South Kari,New Hampshire
223,354,178,1,26.9,26.9,2024-10-31,Delivered,Ashleyhaven,Vermont
224,789,34,3,18.21,54.63,2024-02-27,Delivered,South Donna,Florida
225,235,45,2,172.19,344.38,2025-11-23,Processing,Jacquelineberg,Montana
226,549,115,3,29.6,88.8,2024-06-10,Delivered,Tonyaton,Nevada
227,891,84,3,95.76,287.28,2025-06-30,Delivered,West David,Iowa
228,480,10,2,1605.0,3210.0,2024-01-19,Shipped,Christophermouth,Georgia
229,39,80,3,84.05,252.15,2024-12-01,Shipped,Lake Meganland,New Jersey
230,336,143,2,86.44,0.0,2025-01-10,Cancelled,North Jeffrey,Tennessee
231,540,181,3,267.26,801.78,2024-08-29,Delivered,New Brittanyshire,Oregon
232,800,139,10,41.2,412.0,2024-12-03,Delivered,South Jonathan,Illinois
233,634,106,2,137.04,274.08,2025-07-31,Delivered,North Melaniestad,Oklahoma
234,280,8,2,71.61,143.22,2025-11-21,Delivered,Walkerberg,Kentucky
235,768,200,3,475.37,1426.11,2025-02-28,Delivered,Jenniferview,Georgia
236,589,45,1,172.19,172.19,2024-07-05,Delivered,South Sandra,Hawaii
237,283,17,3,153.37,460.11,2025-06-19,Shipped,South Arthur,New York
238,289,56,3,62.2,186.6,2024-11-22,Delivered,Stanleyview,North Dakota
239,747,2,10,18.84,188.4,2024-06-03,Returned,East Juanfort,Pennsylvania
240,561,118,3,105.56,316.68,2024-04-23,Delivered,Richland,Alaska
241,39,151,5,36.96,184.8,2025-07-19,Processing,Lake Meganland,New Jersey
242,117,121,2,14.65,29.3,2025-03-22,Delivered,South Stanley,North Dakota
243,322,83,2,462.77,925.54,2025-05-30,Processing,Ryanton,Alabama
244,404,7,4,45.16,180.64,2025-01-14,Delivered,East Larry,North Dakota
245,519,19,3,27.97,83.91,2025-05-04,Delivered,Singletonland,Virginia
246,492,91,1,48.73,48.73,2025-12-10,Delivered,Port Barbara,Michigan
247,332,183,1,135.59,135.59,2024-06-25,Delivered,Port Colton,New Jersey
248,196,162,1,19.45,19.45,2025-06-29,Delivered,Mullinsberg,New York
249,359,95,3,22.59,67.77,2025-01-10,Delivered,West Johnport,Virginia
250,645,68,1,21.83,21.83,2025-01-04,Delivered,East Davidmouth,Utah
251,417,54,2,91.12,182.24,2025-02-25,Delivered,Danielshaven,Minnesota
252,554,120,5,8.28,0.0,2025-11-04,Cancelled,Amandaburgh,Arkansas
253,254,37,1,226.21,226.21,2025-08-02,Delivered,North Jordanland,Kansas
254,976,76,1,218.78,218.78,2025-03-16,Delivered,New Jason,Massachusetts
255,459,151,6,36.96,221.76,2024-08-20,Delivered,Stanleyview,Rhode Island
256,986,165,2,38.1,0.0,2024-07-07,Cancelled,West Josestad,New Hampshire
257,672,25,5,115.58,577.9,2025-07-14,Delivered,West Donna,Kentucky
258,928,39,3,49.93,0.0,2025-12-10,Cancelled,Port Teresachester,Alaska
259,132,107,1,329.62,329.62,2025-07-28,Delivered,Middletonstad,Kentucky
260,733,62,11,22.04,242.44,2024-03-06,Delivered,New Sherry,Nevada
261,648,103,3,59.49,0.0,2024-11-24,Cancelled,Mackfurt,Pennsylvania
262,587,121,4,14.65,58.6,2025-01-03,Shipped,Lake Tammy,Tennessee
263,771,30,4,84.94,339.76,2025-06-28,Processing,Jenniferburgh,Wyoming
264,406,192,1,67.26,67.26,2024-06-17,Delivered,Baileyfort,Massachusetts
265,778,11,3,101.47,304.41,2024-03-24,Delivered,Port Daniel,Nevada
266,132,154,2,49.99,99.98,2025-07-25,Delivered,Middletonstad,Kentucky
267,418,13,2,200.56,401.12,2025-06-30,Processing,Veronicafurt,Washington
268,238,14,1,252.45,252.45,2025-11-19,Delivered,Weavermouth,Mississippi
269,585,164,2,18.49,36.98,2025-12-05,Delivered,Mooreview,Maryland
270,291,18,9,11.27,101.43,2025-03-31,Delivered,East Jacobfort,Minnesota
271,716,62,2,22.04,44.08,2025-01-13,Delivered,New William,Alaska
272,202,96,3,26.39,79.17,2024-03-25,Delivered,South William,North Carolina
273,557,76,3,218.78,656.34,2024-02-21,Processing,Lake Kimberlyside,Arizona
274,117,43,1,744.66,744.66,2024-01-27,Shipped,South Stanley,North Dakota
275,538,95,3,22.59,67.77,2025-09-06,Shipped,Calderonland,South Carolina
276,516,65,3,180.33,540.99,2024-03-23,Shipped,Bryanmouth,South Dakota
277,607,199,3,225.44,676.32,2025-12-20,Processing,Michaelburgh,Washington
278,925,13,1,200.56,200.56,2025-04-06,Delivered,Kimberlymouth,Indiana
279,306,36,1,754.48,754.48,2025-10-04,Delivered,Port Bryanborough,New York
280,147,39,1,49.93,49.93,2024-02-07,Delivered,West Michellebury,Montana
281,205,148,1,75.74,75.74,2024-04-06,Shipped,Nicolechester,Maryland
282,772,120,1,8.28,8.28,2024-08-23,Returned,East Daniel,North Dakota
283,556,138,6,28.38,170.28,2025-07-22,Delivered,Goodwinberg,Minnesota
284,659,52,6,58.13,348.78,2025-02-12,Delivered,West Sarah,Alabama
285,822,18,11,11.27,123.97,2025-10-22,Returned,West Brianhaven,Oklahoma
286,996,107,1,329.62,329.62,2025-10-03,Processing,North Sarah,Oregon
287,566,37,3,226.21,0.0,2025-06-30,Cancelled,Jackfort,New York
288,525,156,3,29.37,88.11,2024-07-18,Delivered,Lake Jennifer,South Dakota
289,8,53,1,149.5,149.5,2025-07-24,Delivered,Port Jacqueline,Arizona
290,874,116,5,61.87,309.35,2025-05-16,Delivered,Johnsonburgh,Ohio
291,645,169,4,182.34,729.36,2024-12-01,Delivered,East Davidmouth,Utah
292,105,148,2,75.74,151.48,2024-10-04,Delivered,Schneiderchester,Delaware
293,958,195,1,97.33,97.33,2024-02-28,Delivered,East Gregory,Kansas
294,346,121,3,14.65,43.95,2024-08-12,Delivered,Port Mollyside,Pennsylvania
295,351,74,4,49.6,198.4,2024-11-09,Delivered,East Stephanieside,Missouri
296,882,163,2,519.4,1038.8,2025-12-24,Delivered,Edwardsmouth,Wisconsin
297,355,81,3,134.83,404.49,2024-03-11,Delivered,New Thomastown,Minnesota
298,774,10,1,1605.0,1605.0,2025-03-02,Delivered,Jessicafurt,South Dakota
299,642,33,2,31.92,63.84,2024-01-04,Delivered,Muellerberg,Oregon
300,83,79,4,11.71,46.84,2024-02-07,Delivered,Jacksonmouth,Mississippi
301,646,140,6,5.91,0.0,2025-08-10,Cancelled,West Amberside,Connecticut
302,329,31,2,61.67,123.34,2025-04-06,Delivered,Timothyfurt,Hawaii
303,235,17,3,153.37,460.11,2024-09-30,Delivered,Jacquelineberg,Montana
304,754,27,2,90.21,180.42,2025-11-21,Delivered,South Cynthia,North Carolina
305,978,63,4,91.76,367.04,2024-06-02,Delivered,Michaelland,Oregon
306,387,177,4,180.62,722.48,2024-11-13,Delivered,Marisatown,Wyoming
307,998,83,2,462.77,925.54,2024-04-10,Delivered,Lake Franciscoton,Kentucky
308,305,104,10,12.69,126.9,2024-11-05,Delivered,South Philip,Colorado
309,839,47,1,64.42,64.42,2024-12-07,Delivered,Owensport,Connecticut
310,131,191,3,14.34,43.02,2024-06-11,Shipped,Herbertland,Nevada
311,110,159,5,24.62,123.1,2024-02-28,Delivered,East Shelbychester,Louisiana
312,774,122,1,28.49,28.49,2025-10-03,Delivered,Jessicafurt,South Dakota
313,485,177,4,180.62,722.48,2024-07-25,Delivered,Port Katieton,Wisconsin
314,648,102,2,75.07,150.14,2025-11-30,Delivered,Mackfurt,Pennsylvania
315,778,2,1,18.84,18.84,2024-10-13,Delivered,Port Daniel,Nevada
316,774,187,1,393.01,393.01,2024-02-18,Delivered,Jessicafurt,South Dakota
317,197,47,2,64.42,128.84,2024-11-09,Delivered,New Tracistad,Indiana
318,33,107,3,329.62,988.86,2025-04-17,Processing,West Ryan,Vermont
319,654,23,1,56.34,56.34,2024-10-11,Delivered,Williamshaven,Mississippi
320,272,182,2,361.77,723.54,2025-02-13,Delivered,Kathrynton,Arizona
321,41,120,2,8.28,16.56,2024-04-04,Delivered,West Susan,North Dakota
322,919,63,2,91.76,183.52,2025-01-11,Delivered,New Kelsey,Oregon
323,530,98,2,231.55,463.1,2024-12-16,Delivered,Lake Debbieshire,Arizona
324,999,77,2,759.78,1519.56,2024-03-29,Delivered,Port Stephenberg,Vermont
325,336,13,2,200.56,401.12,2024-06-09,Delivered,North Jeffrey,Tennessee
326,350,117,5,123.59,617.95,2024-02-02,Delivered,Evanbury,South Carolina
327,266,51,4,83.6,334.4,2025-03-14,Delivered,South Jessica,North Dakota
328,602,173,3,238.82,716.46,2024-09-13,Delivered,South John,Arkansas
329,314,46,3,23.4,70.2,2024-11-08,Delivered,Harrisonshire,North Dakota
330,543,40,1,36.26,36.26,2024-03-19,Delivered,West Dominicfort,Arizona
331,864,88,5,35.05,175.25,2024-01-28,Delivered,Michaelland,Wisconsin
332,611,40,2,36.26,72.52,2025-12-02,Delivered,Watkinston,Oklahoma
333,873,73,2,466.55,933.1,2024-10-20,Processing,Lake Amandafort,Iowa
334,666,132,2,115.46,230.92,2024-12-12,Shipped,West Jennifer,Mississippi
335,169,13,2,200.56,401.12,2025-01-06,Delivered,West Janetland,Nevada
336,329,110,7,22.94,160.58,2025-04-19,Delivered,Timothyfurt,Hawaii
337,281,193,3,7.88,0.0,2025-05-27,Cancelled,Watsonbury,Illinois
338,802,73,3,466.55,1399.65,2024-10-25,Delivered,Michellefurt,Ohio
339,869,92,2,33.69,67.38,2025-05-26,Returned,Kennethberg,Utah
340,577,23,5,56.34,281.7,2025-10-17,Delivered,Sullivanhaven,Tennessee
341,543,45,2,172.19,344.38,2025-06-07,Processing,West Dominicfort,Arizona
342,936,130,2,186.07,372.14,2024-11-16,Returned,Melindaberg,New Mexico
